	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Gm7429	1.30048365202686	-0.301399096666859	0.898675243407732	-0.335381550652234	0.73733728333013	0.825781755258953
Slu7	223.202193532126	0.0313848361592172	0.093607279552774	0.33528200273701	0.737412368572649	0.825796681536513
Gm4146	2.90069348153745	-0.23011100294849	0.686601015355653	-0.335145153884305	0.737515592597714	0.825855650209522
Gm38499	3.3201778776832	0.179829524370733	0.537087383572916	0.334823587131084	0.737758166528215	0.826014010813657
Nudt16l1	1.84809894361779	-0.262879549493887	0.785061230947961	-0.334852288115743	0.73773651487406	0.826014010813657
Eva1c	11.0075085227093	-0.103363355151312	0.3089329971947	-0.334581789870018	0.737940583534809	0.826161612989477
Gm5903	13.4702439740393	-0.0960070424560451	0.2872151045993	-0.334268779457079	0.738176747177597	0.826369362869595
Ebf4	14.8699834588644	0.139527336540261	0.417931283829555	0.33385233874276	0.738490986390772	0.826633890804347
4930520P13Rik	0.432313835901655	0.593747148672483	1.77863673228168	0.333821481304284	0.738514272638148	0.826633890804347
Abcc10	29.5964435787728	0.0591830475988579	0.177395617305511	0.333621813761795	0.738664955484505	0.826745891788167
Glmn	66.5790594426476	-0.0464647302434847	0.139450683293914	-0.333198297390577	0.73898460325694	0.827012417722704
Hyal2	50.4249311659371	0.0475743629631861	0.142812703180519	0.333124168254493	0.73904055665116	0.827012417722704
Rpl7a-ps3	8.19226040619601	-0.131883862040837	0.395922751208197	-0.3331050353595	0.739054998571079	0.827012417722704
A330023F24Rik	4.03322464571998	0.25802485885849	0.775647490495004	0.332657375960597	0.739392927756974	0.827333878879618
Dgkq	52.2840060962527	-0.0545084496416274	0.163962155035749	-0.33244531111306	0.739553028868096	0.827399648408942
Efnb2	2.64986706392037	-0.230127228259573	0.692123272865692	-0.332494567487589	0.739515841121728	0.827399648408942
Gm5113	4.88464881316659	0.131969103447033	0.397529827684959	0.331972833876551	0.739909772274658	0.827685369917103
Mettl1	110.334774788884	-0.0460339169692682	0.138648949128814	-0.332017784905819	0.739875829640694	0.827685369917103
Slc12a5	4.08506883304763	-0.176548584133995	0.531944230385801	-0.331893033233861	0.739970031186095	0.827696085838731
Gm10355	3.50504760851342	0.157278135348671	0.474263895618707	0.331625782189242	0.740171848913622	0.827719740849343
Raver2	36.261895082447	-0.0613127308933926	0.1849015780481	-0.331596579870415	0.740193902467834	0.827719740849343
Ogdhl	6.0561824345441	0.129246632372177	0.38965305322061	0.331696701216407	0.740118291843249	0.827719740849343
Cryzl1	4.49526840128101	-0.163788042618033	0.49388717948314	-0.331630480445837	0.740168300816133	0.827719740849343
Lgr6	3.34967663854347	0.2578655138043	0.779133391797247	0.330964526124949	0.740671280960045	0.828196861607521
Arhgap32	45.5814592314985	-0.0712608956624601	0.215516268308481	-0.3306520487839	0.740907326213863	0.828404083776601
Rara	43.5529655759541	0.0552216671920943	0.167047924906181	0.330573799244189	0.740966439703031	0.828413464761083
Gm34590	1.50155228780575	-0.235433583365349	0.712371383445824	-0.330492758182578	0.741027663654856	0.828425203834014
Cenpa	155.52570595809	-0.0306569031990603	0.0928531021541291	-0.330165632465054	0.741274813424824	0.828489054139749
Gde1	111.786757232754	-0.0352827910084774	0.106869427963626	-0.330148590488258	0.74128768969778	0.828489054139749
Gm12132	0.825541064750434	0.354308233884774	1.07316567617935	0.330152409594547	0.741284804119249	0.828489054139749
Nexmif	0.984485134885361	0.354114644968487	1.07244063315832	0.330195102665612	0.741252547027135	0.828489054139749
Gga1	204.45590970611	0.0262437319224107	0.0795493912725503	0.329904874224556	0.741471840411399	0.828638161872107
Kif14	83.4519193678163	-0.0487287019477062	0.147739797846454	-0.329827863974405	0.741530032026169	0.8286464921691
Nectin4	1.55522421910076	-0.386823933907375	1.1732853146613	-0.329692981812392	0.74163195722523	0.828703689477453
C230035I16Rik	4.79391226693378	0.142444412729465	0.433199616115023	0.328819342008935	0.742292242499542	0.829384750940858
Gm31751	0.599264860717424	0.355842442163932	1.08241661227107	0.328748134618262	0.74234606846007	0.829388150915985
Tmem248	288.129511605471	-0.0287121587683819	0.0873620454186944	-0.328657125995334	0.742414864088107	0.829408274183389
Gm44705	1.47734136620262	0.263825062460942	0.803214242879252	0.328461633741975	0.742562648386411	0.829516632930702
Hsf4	0.592560628787935	0.345469411692886	1.05281394574454	0.328139091516852	0.742806498107339	0.82973228418638
Ano4	0.576602812088923	0.352657683984942	1.0751002375678	0.328023073255718	0.742894217030782	0.829773516109064
LOC118567817	2.68937484989445	-0.208993238786132	0.638277902821327	-0.327432984695752	0.743340422005579	0.829931348933219
Ppia	3148.98875074339	0.0186239548980038	0.0568536681650969	0.327577014800908	0.743231503360791	0.829931348933219
Pimreg	137.350453700083	-0.0339647279182741	0.1037287985097	-0.327437783973735	0.743336792606222	0.829931348933219
Syne3	82.9689387972575	0.0618844087567687	0.188909347858905	0.32758785871724	0.743223303167411	0.829931348933219
Tnnc1	2.19742235674922	-0.265779366086886	0.811481735240221	-0.327523534473895	0.743271945727765	0.829931348933219
Iqank1	3.11542965860115	0.155384141749314	0.474417088518835	0.327526443523429	0.743269745856714	0.829931348933219
B4galnt4	54.9695086975111	0.0415102648378673	0.126895439103502	0.327121803046124	0.743575761757183	0.830137353272152
Ccdc148	0.646789701417859	0.361505725744551	1.10575354069226	0.326931556120751	0.743719653072097	0.830241242240156
Mylpf	0.860194800378186	0.350342202118981	1.07233081373692	0.326710934378624	0.743886529275976	0.83037077411901
Lmod1	1.48179233375302	0.369673166970894	1.13257636770884	0.326400212392501	0.744121576853122	0.830462866828289
Gm43471	1.85432829263944	0.263817505970997	0.808260608309384	0.326401538388487	0.744120573744554	0.830462866828289
