sample,score,signature,n_genes,genotype,tnf,group,n_replicates,exploratory,condition
BD04,-0.25404812569234336,Aging_LongevityUp,16,WT,basal,WT_basal,3,FALSE,WT
BD02,0.13100700525554604,Aging_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,0.12219187630552515,Aging_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,0.08691724213607852,Aging_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,0.24803868056321574,Aging_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,0.32243846753914795,Aging_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,0.36121837895200365,Aging_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,-0.24891724135799698,Aging_LongevityUp,16,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,-0.7060564028317423,Aging_LongevityUp,16,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,-0.1360377304853997,Aging_LongevityUp,16,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,-0.15596875965220225,Aging_LongevityUp,16,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,-0.12927670638285288,Aging_LongevityUp,16,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,-0.16930993591053323,Aging_LongevityDn,12,WT,basal,WT_basal,3,FALSE,WT
BD03,-0.09257835212202004,Aging_LongevityDn,12,WT,basal,WT_basal,3,FALSE,WT
BD04,0.07800543473389832,Aging_LongevityDn,12,WT,basal,WT_basal,3,FALSE,WT
BD02,0.13275029251819873,Aging_LongevityDn,12,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,0.3384257171681487,Aging_LongevityDn,12,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,0.17419534247595322,Aging_LongevityDn,12,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,-0.31781985996305345,Aging_LongevityDn,12,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,-0.40685703000893353,Aging_LongevityDn,12,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.5217331503959093,Aging_LongevityDn,12,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,-0.3482147446365824,Aging_LongevityDn,12,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.6212571076768016,Aging_LongevityDn,12,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,-0.1148089801868596,Aging_LongevityDn,12,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,0.38703013039678025,Aging_LongevityDn,12,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,0.23965802825410934,Aging_LongevityDn,12,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,-0.3141737283719635,Senescence_SASP,21,WT,basal,WT_basal,3,FALSE,WT
BD03,-0.2195560454605316,Senescence_SASP,21,WT,basal,WT_basal,3,FALSE,WT
BD04,-0.12703719847435738,Senescence_SASP,21,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.46149783151788537,Senescence_SASP,21,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.39356056665093336,Senescence_SASP,21,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.3568934320580187,Senescence_SASP,21,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,-0.11577169318957671,Senescence_SASP,21,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,-0.19641942504293214,Senescence_SASP,21,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.10751303383929225,Senescence_SASP,21,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.2184235573941851,Senescence_SASP,21,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.10713315050228073,Senescence_SASP,21,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,0.46528470097222235,Senescence_SASP,21,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,1.4463961939674874,Senescence_SASP,21,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,0.055185351769315195,Senescence_SASP,21,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,-0.029750981209731804,Senescence_DDR,16,WT,basal,WT_basal,3,FALSE,WT
BD03,-0.1350553932746373,Senescence_DDR,16,WT,basal,WT_basal,3,FALSE,WT
BD04,0.055583951886296064,Senescence_DDR,16,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.12212118741140805,Senescence_DDR,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.1279348770606452,Senescence_DDR,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.11271021864787592,Senescence_DDR,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,-0.11393466205926006,Senescence_DDR,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,-0.13538948532070302,Senescence_DDR,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.41178333244900867,Senescence_DDR,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.08545658654972967,Senescence_DDR,16,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,0.041510834370007216,Senescence_DDR,16,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,0.420351245873343,Senescence_DDR,16,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
BD13,0.2802367551839541,Senescence_DDR,16,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,PPM1D_KO_TNF
BD14,0.3055407635699383,Senescence_DDR,16,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,PPM1B_KO_TNF
BD01,-0.08731092017408965,Inflammaging,18,WT,basal,WT_basal,3,FALSE,WT
BD03,0.06712193685966869,Inflammaging,18,WT,basal,WT_basal,3,FALSE,WT
BD04,-0.18402050091320055,Inflammaging,18,WT,basal,WT_basal,3,FALSE,WT
BD02,-0.21619246673668346,Inflammaging,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD05,-0.20646667573608368,Inflammaging,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD20,-0.36534885413595036,Inflammaging,18,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,PPM1D_KO
BD06,-0.3645172781968241,Inflammaging,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD07,-0.2870097731036191,Inflammaging,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD08,-0.33714305249999227,Inflammaging,18,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,PPM1B_KO
BD09,0.29169975946106336,Inflammaging,18,DKO,basal,DKO_basal,2,FALSE,DKO
BD57,-0.5249925471091297,Inflammaging,18,DKO,basal,DKO_basal,2,FALSE,DKO
BD12,0.8039416430484629,Inflammaging,18,WT,TNF12h,WT_TNF12h,1,TRUE,WT_TNF
