sample_id,score,module,n_genes,genotype,tnf,group,n_replicates,exploratory,category
BD06,0.11952412408556512,Tysh_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD07,0.25022981830733754,Tysh_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD08,-0.3172793017653793,Tysh_DNAmAge,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD09,-0.22109175650553056,Tysh_DNAmAge,16,DKO,basal,DKO_basal,2,FALSE,Aging clock
BD57,0.06199145584096703,Tysh_DNAmAge,16,DKO,basal,DKO_basal,2,FALSE,Aging clock
BD12,0.057148886461461976,Tysh_DNAmAge,16,WT,TNF12h,WT_TNF12h,1,TRUE,Aging clock
BD13,-0.23650451036080639,Tysh_DNAmAge,16,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Aging clock
BD14,0.2913325089046579,Tysh_DNAmAge,16,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Aging clock
BD01,0.30688257357751536,Tysh_LongevityUp,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD03,0.05161074207350397,Tysh_LongevityUp,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD04,-0.25404812569234336,Tysh_LongevityUp,16,WT,basal,WT_basal,3,FALSE,Aging clock
BD02,0.13100700525554604,Tysh_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD05,0.12219187630552515,Tysh_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD20,0.08691724213607852,Tysh_LongevityUp,16,PPM1D_KO,basal,PPM1D_KO_basal,3,FALSE,Aging clock
BD06,0.24803868056321574,Tysh_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD07,0.32243846753914795,Tysh_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD08,0.36121837895200365,Tysh_LongevityUp,16,PPM1B_KO,basal,PPM1B_KO_basal,3,FALSE,Aging clock
BD09,-0.24891724135799698,Tysh_LongevityUp,16,DKO,basal,DKO_basal,2,FALSE,Aging clock
BD57,-0.7060564028317423,Tysh_LongevityUp,16,DKO,basal,DKO_basal,2,FALSE,Aging clock
BD12,-0.1360377304853997,Tysh_LongevityUp,16,WT,TNF12h,WT_TNF12h,1,TRUE,Aging clock
BD13,-0.15596875965220225,Tysh_LongevityUp,16,PPM1D_KO,TNF12h,PPM1D_KO_TNF12h,1,TRUE,Aging clock
BD14,-0.12927670638285288,Tysh_LongevityUp,16,PPM1B_KO,TNF12h,PPM1B_KO_TNF12h,1,TRUE,Aging clock
