"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","contrast","class","is_target","sig"
"Ptprg",80.8181818181818,-0.106915011159478,0.276704595975127,-0.386386828099843,0.699210203802582,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppp3cb",216.363636363636,-0.180862770450557,0.140051989861577,-1.29139736343137,0.196565924415594,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPP",FALSE,"NS"
"Ppm1f",105.909090909091,0.126869930386088,0.175572263952396,0.722608044858876,0.469920724299213,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPM/PP2C",FALSE,"NS"
"Dusp1",43,-0.286050721857134,0.333031210202674,-0.858930674044188,0.390378765001244,0.999999972400712,"genotype_PPM1B_KO_vs_WT","DUSP",FALSE,"NS"
"Ptprs",670.454545454545,-0.0339052119904267,0.175271623603952,-0.193443817620128,0.846611401941631,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptprm",112.363636363636,0.232834258605642,0.2524824387754,0.922180012736505,0.356434686848579,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppm1b",233.545454545455,-0.0557246934697363,0.163741327726281,-0.340321495150502,0.733614431420914,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPM/PP2C",TRUE,"NS"
"Ptpn2",191.272727272727,-0.00227005670023872,0.166300609651036,-0.0136503209759855,0.989108957867913,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp1ca",1271.36363636364,0.15487437657353,0.117997557090559,1.31252188936987,0.189344105352161,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PPP",FALSE,"NS"
"Pten",185.363636363636,-0.0503541265664363,0.168634387378744,-0.298599398077354,0.76524572476826,0.999999972400712,"genotype_PPM1B_KO_vs_WT","PTEN",FALSE,"NS"
"Ptprn",17.1818181818182,1.39231754928415,0.551404992894265,2.52503616620522,0.0115686383079425,0.0489981322129253,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"Up"
"Ptpn4",75.0909090909091,-0.16745656559984,0.264994813921134,-0.631923935121529,0.527436582312841,0.707526345299294,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Dusp10",19.2727272727273,-0.0931089962313252,0.414223400795596,-0.224779662502146,0.822150688210471,0.906579239653623,"genotype_DKO_vs_WT","DUSP",FALSE,"NS"
"Ptpn14",92.5454545454545,0.173648214553668,0.22672227257133,0.765907171731601,0.443731538322823,0.638003169694852,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptprj",33.5454545454545,0.34792351350017,0.33476568472248,1.03930459237062,0.298663099713235,0.497974473322388,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Acp2",39.2727272727273,0.274033572455411,0.316340817768504,0.866260555272215,0.386347292115851,0.585674916851894,"genotype_DKO_vs_WT","ACP/ALP",FALSE,"NS"
"Ptpra",171.181818181818,0.0280924195505313,0.192180546634764,0.14617722783316,0.883781482002772,0.942897575179811,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptprt",121.818181818182,-4.58073692710482,0.400141874289428,-11.4477819529368,2.41239350316272e-30,3.07392541047446e-27,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"Down"
"Ptpn1",188,0.288927271610581,0.15733482911268,1.83638469142555,0.0663007820426681,0.17839919485343,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp3ca",610.181818181818,0.477955106466523,0.159146588907459,3.00323814508173,0.00267123313798945,0.015677431743328,"genotype_DKO_vs_WT","PPP",FALSE,"NS"
"Ptpn3",35.5454545454545,-0.328325598574279,0.34032857630503,-0.96473120811344,0.334679459687008,0.534670200141271,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptpru",8.27272727272727,-3.54431515425419,1.15144795173805,-3.07813753014562,0.00208298759422848,0.0128705289496833,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"Down"
"Ptpn12",121.090909090909,0.329123678329462,0.186600099391943,1.76379154888956,0.0777670808748648,0.198936623571927,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppm1g",577,0.159460559892673,0.153863486092711,1.03637688149474,0.30002635144334,0.499723891425772,"genotype_DKO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ppp1cb",815.727272727273,0.172816643974516,0.123090703154243,1.40397803851979,0.160325389363356,0.330745019827122,"genotype_DKO_vs_WT","PPP",FALSE,"NS"
"Ssh1",53.9090909090909,0.656221358917138,0.294033746221524,2.23178926687804,0.0256288940411001,0.0902124483926753,"genotype_DKO_vs_WT","Slingshot",FALSE,"NS"
"Ptpn11",440.727272727273,0.122131762487557,0.14269974464998,0.855865319080472,0.392072280010439,0.590683776558029,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp1cc",435,0.166971748611741,0.136806418938354,1.22049644970957,0.222276734592921,0.413206288265784,"genotype_DKO_vs_WT","PPP",FALSE,"NS"
"Dusp16",59.0909090909091,0.550197215870917,0.31759188542528,1.73240325436577,0.0832017889661848,0.20919932380272,"genotype_DKO_vs_WT","DUSP",FALSE,"NS"
"Ptpre",46.7272727272727,0.00486594229307693,0.277444250217628,0.0175384506590426,0.986007058367489,0.992585054894519,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppp2cb",337.545454545455,0.102547652845305,0.166943518468626,0.614265553918925,0.53903986090257,0.716557283673816,"genotype_DKO_vs_WT","PPP",FALSE,"NS"
"Dusp4",857.909090909091,0.707340702017366,0.426627656340236,1.65798136033933,0.0973212286836516,0.234766480972679,"genotype_DKO_vs_WT","DUSP",FALSE,"NS"
"Acp5",11.0909090909091,3.34577268499183,0.743415187808431,4.50054389506768,6.77798055459391e-06,0.000122602335962276,"genotype_DKO_vs_WT","ACP/ALP",FALSE,"Up"
"Ptpn9",60.3636363636364,0.241660914909334,0.275351671824886,0.877644625535532,0.380136603823528,0.580248445713859,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptpn23",264.727272727273,0.197939473578929,0.202180916116947,0.979021548524567,0.327569332434274,0.527978229705728,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptprk",190.818181818182,-0.556331318723779,0.215637422856425,-2.57993863659832,0.009881787274819,0.043737682928454,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Dusp6",39.1818181818182,0.432959618537863,0.310063695919593,1.39635702030121,0.162607010925691,0.334009887389544,"genotype_DKO_vs_WT","DUSP",FALSE,"NS"
"Ptprq",58.5454545454545,1.1808962104421,0.276877380302285,4.26505122647738,1.99856342238836e-05,0.000300386963669065,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"Up"
"Ppm1h",47.2727272727273,-0.624490628740302,0.344152501212239,-1.81457530176478,0.0695892008935053,0.184185948290211,"genotype_DKO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ppp2ca",1002,0.227938210649901,0.107212448322068,2.12604239728926,0.0334997294917587,0.109787240024868,"genotype_DKO_vs_WT","PPP",FALSE,"NS"
"Ssh2",47.6363636363636,-0.479167602820322,0.295805069943402,-1.61987623441344,0.105258865925672,0.247957905694166,"genotype_DKO_vs_WT","Slingshot",FALSE,"NS"
"Ppm1d",52.3636363636364,-2.33064484933734,0.333112951772969,-6.99656028663147,2.62322926050412e-12,2.66222948313816e-10,"genotype_DKO_vs_WT","PPM/PP2C",TRUE,"Down"
"Acp1",296.636363636364,0.230511226421848,0.15021515731027,1.534540392257,0.124896764149866,0.279016535351319,"genotype_DKO_vs_WT","ACP/ALP",FALSE,"NS"
"Ppm1a",386.909090909091,-0.0260673772642383,0.172076738134796,-0.151486932788198,0.879591618006464,0.940264417906239,"genotype_DKO_vs_WT","PPM/PP2C",FALSE,"NS"
"Ptpn21",131.818181818182,-0.106520204276199,0.236770233539526,-0.449888496048707,0.652790842954547,0.800150212377377,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ptprg",80.8181818181818,0.336575041467141,0.302276736141897,1.11346657292589,0.265508096924477,0.464578403346034,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppp3cb",216.363636363636,0.050325523922496,0.154374924161355,0.325995456813278,0.744427792476215,0.860621122695952,"genotype_DKO_vs_WT","PPP",FALSE,"NS"
"Ppm1f",105.909090909091,-0.355982941969172,0.203901691009129,-1.74585576121207,0.0808360187017655,0.204236056944668,"genotype_DKO_vs_WT","PPM/PP2C",FALSE,"NS"
"Dusp1",43,-0.026183609310299,0.367347139222387,-0.0712775642290977,0.943176850956428,0.972256431601079,"genotype_DKO_vs_WT","DUSP",FALSE,"NS"
"Ptprs",670.454545454545,-0.125210117152756,0.196304314747481,-0.637836806153862,0.523579917618993,0.704660556467163,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ptprm",112.363636363636,0.796837114729048,0.272743897656237,2.9215579947947,0.00348285426297447,0.0192674253197256,"genotype_DKO_vs_WT","PTPR (receptor)",FALSE,"NS"
"Ppm1b",233.545454545455,-0.0927188998193316,0.183455200365112,-0.50540349706524,0.613275463147073,0.7701871560796,"genotype_DKO_vs_WT","PPM/PP2C",TRUE,"NS"
"Ptpn2",191.272727272727,-0.428712309663844,0.190425982414098,-2.25133305985299,0.0243644504036222,0.0870440863640933,"genotype_DKO_vs_WT","PTPN (non-receptor)",FALSE,"NS"
"Ppp1ca",1271.36363636364,1.1343089947014,0.130137014507348,8.71626722800961,2.87524217444866e-18,1.09910924188591e-15,"genotype_DKO_vs_WT","PPP",FALSE,"Up"
"Pten",185.363636363636,0.740007709899018,0.178878910709409,4.13691981332091,3.51999048447056e-05,0.000467654266562013,"genotype_DKO_vs_WT","PTEN",FALSE,"NS"
